scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
1          	 Hit-for-hire murders                    	 NO PERPETRATOR                 	 [[Brass]] you know what that means : hit-for-hire
2          	 Ex-partner's murder evidence            	 Kyle_Goode                     	 [[Kyle_Goode]] you 're going to break them
3          	 Trents' contract killing                	 Kyle_Goode                     	 [[Brass]] your $ 20,000 incentive pulled the trigger
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Roller coaster derailment               	 NO PERPETRATOR                 	 [[Grissom]] it 's also a four-eighteen-b
0          	 Tessa Press homicide                    	 NO PERPETRATOR                 	 [[Catherine]] now ... the body position is inconsistent with her lividity
1          	 Roller coaster fatalities               	 NO PERPETRATOR                 	 [[Grissom]] dead men do n't ride roller coasters
1          	 Jim Nevins homicide                     	 NO PERPETRATOR                 	 [[Grissom]] possibly killed by that wrench and stuffed in his own trunk
1          	 Park security negligence                	 NO PERPETRATOR                 	 [[Zack_Lawrence]] the same key that opens up the men 's room door opens up all the power boxes at the park
2          	 Roller coaster sabotage                 	 NO PERPETRATOR                 	 [[David_Hodges]] your killer has a rash
2          	 Tessa Press homicide                    	 Justin_Mack                    	 [[Warrick]] the tip of the shovel glows with the presence of blood
2          	 Landscaping company link                	 NO PERPETRATOR                 	 [[Warrick]] couple of months back, they were hired by the victim's mother
3          	 Tessa Press homicide                    	 Raina_Press                    	 [[Raina_Press]] she was trying to steal him from me
3          	 Jim Nevins homicide                     	 Zack_Lawrence                  	 [[Sara]] you tampered with the screws
3          	 Roller coaster sabotage                 	 Zack_Lawrence                  	 [[Zack_Lawrence]] guess i just did n't think about it
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Ernie Menlo's murder                    	 NO PERPETRATOR                 	 [[Brass]] two shots to the back of the head
1          	 Davis Mullins' murder                   	 NO PERPETRATOR                 	 [[Warrick]] looks like the roommate's home after all
2          	 Teddy Keller's murder                   	 Sam Braun                      	 [[Joseph_Greene]] stop looking at my son... start looking at sam
2          	 Davis Mullins' murder                   	 Sam Braun                      	 [[Joseph_Greene]] stop looking at my son... start looking at sam
3          	 Teddy Keller's murder                   	 Joseph_Greene                  	 [[Joe_Greene]] turn around and walk
3          	 Davis Mullins' murder                   	 Joseph_Greene                  	 [[Joe_Greene]] hey ... hey
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Linley Parker's assault                 	 NO PERPETRATOR                 	 [[Linley_Parker]] 4-4-6
0          	 Emma Dobbins' murder                    	 NO PERPETRATOR                 	 [[Warrick]] victim was a 32-year-old caucasian female, emma dobbins
1          	 Linley Parker's rape                    	 NO PERPETRATOR                 	 [[Greg]] todd coombs is not your rapist
2          	 Linley Parker's murder                  	 NO PERPETRATOR                 	 [[Robbins]] 'cause of death, asphyxia due to strangulation
2          	 Linley Parker's rape                    	 NO PERPETRATOR                 	 [[Greg]] todd coombs is not your rapist
2          	 Evidence tampering case                 	 NO PERPETRATOR                 	 [[Warrick]] a pin from the palms linley parker worked at the palms
3          	 Linley Parker's murder                  	 Todd_Coombs                    	 [[Todd_Coombs]] i raped and murdered emma dobbins and linley parker
3          	 Emma Dobbins' murder                    	 Todd_Coombs                    	 [[Todd_Coombs]] i raped and murdered emma dobbins and linley parker
3          	 Linley Parker's rape                    	 Todd_Coombs                    	 [[Todd_Coombs]] i raped and murdered emma dobbins and linley parker
3          	 Additional victim cases                 	 Todd_Coombs                    	 [[Todd_Coombs]] there are more, but we'll talk about those later
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Alicia's abduction                      	 NO PERPETRATOR                 	 [[April_Perez]] somebody took alicia
0          	 Suspicious blood stain                  	 NO PERPETRATOR                 	 [[Grissom]] i'm going to need to take your shirt
0          	 Forced organ donation                   	 Carlos_Perez                   	 [[Carlos_Perez]] alicia is his matching donor
1          	 Alicia's homicide                       	 NO PERPETRATOR                 	 [[Grissom]] somebody , uh , wanted her intact
1          	 False abduction claim                   	 April_Perez                    	 [[Grissom]] which means april perez was lying about the abduction
1          	 Blood evidence discrepancy              	 NO PERPETRATOR                 	 [[Mia_Dickerson]] the blood on the mother 's t-shirt matches the blood on the blanket
2          	 Alicia's illegal search                 	 Sybil_Perez                    	 [[Archie_Johnson]] sybil perez
2          	 Shoe print match                        	 Carlos_Perez                   	 [[Warrick]] sees a shoe print that 's familiar
2          	 Blue fiber evidence                     	 NO PERPETRATOR                 	 [[Warrick]] blue fibers
2          	 Tripod mark match                       	 Carlos_Perez                   	 [[Nick]] looks like the lividity marks on alicia 's body
3          	 Alicia's execution                      	 Daniel_Perez                   	 [[Daniel_Perez]] i could n't watch her suffer anymore
3          	 Parental cover-up                       	 Sybil_Perez                    	 [[Sybil_Perez]] they 'll put him in prison
3          	 Evidence tampering                      	 Daniel_Perez                   	 [[Grissom]] it dripped out of your nose onto the blanket while you were killing her
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Vanessa Keaton's drowning               	 NO PERPETRATOR                 	 [[Brass]] well , this one sprung a dead woman ... vanessa keaton
0          	 Landlord's saw murder                   	 NO PERPETRATOR                 	 [[Nick]] killer strolls in next thing you know , landlord 's deli meat
1          	 Vanessa Keaton's drowning               	 NO PERPETRATOR                 	 [[Greg]] vanessa keaton died in a pool
1          	 Landlord Bassngi's murder               	 Charlie_Pinscher               	 [[Warrick]] charlie confessed to killing the landlord
1          	 Melissa Poolie's murder                 	 NO PERPETRATOR                 	 [[Robbins]] blunt-force trauma to the occipital region
2          	 Vanessa Keaton's drowning               	 NO PERPETRATOR                 	 [[Greg]] vanessa keaton died in a pool
2          	 Landlord Bassngi's murder               	 Charlie_Pinscher               	 [[Warrick]] charlie confessed to killing the landlord
2          	 Melissa Poolie's murder                 	 Mrs._Basengi                   	 [[Warrick]] she left her prints behind
3          	 Vanessa Keaton's drowning               	 Amy_Keaton                     	 [[Amy_Keaton]] we put her in the fountain
3          	 Melissa Poolie's murder                 	 Mrs._Basengi                   	 [[Warrick]] she left her prints behind
3          	 Tom Cunningham's statutory rape         	 Tom_Cunningham                 	 [[Brass]] she 's a minor , you 're an adult
3          	 Landlord Bassngi's murder               	 Charlie_Pinscher               	 [[Warrick]] charlie confessed to killing the landlord
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Pledge's hazing death                   	 NO PERPETRATOR                 	 [[Catherine]] maybe you can explain why the pledge who swallowed this key ended up dead
1          	 Blonde-haired dummy taunting            	 NO PERPETRATOR                 	 [[Grissom]] now he 's taunting us
1          	 Debby Reston's abduction                	 NO PERPETRATOR                 	 [[Warrick]] those black trilobal fibers that we found on debby reston 's body were from a chevy
1          	 Body in van discovery                   	 NO PERPETRATOR                 	 [[Grissom]] this is where he brought them
2          	 Kaitlin Rackish's disappearance         	 NO PERPETRATOR                 	 [[Mandy_Cooper]] she left for her 7:00 class
2          	 Debby Reston's murder                   	 John Mathers                   	 [[Nick]] the partial vin number on our van 's a match
2          	 Killer partnership case                 	 NO PERPETRATOR                 	 [[Nick]] they were partners
3          	 Debby Reston's murder                   	 John Mathers                   	 [[Sara]] the prints on the comb bindings from the comic books are a match to the prints recovered from the van and the garbagebag that debby reston was in
3          	 Killer partnership case                 	 Kevin Greer                    	 [[Brass]] kevin greer... works at the copy union
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Wendy Garner's murder                   	 NO PERPETRATOR                 	 [[Catherine]] ... and slash their throat
0          	 Transgender hate crime                  	 NO PERPETRATOR                 	 [[Grissom]] well, they do n't call it an adam 's apple for nothing
1          	 Wendy Garner's murder                   	 NO PERPETRATOR                 	 [[Warrick]] fourteen minutes of wendy 's time unaccounted for
1          	 Botched surgery death                   	 NO PERPETRATOR                 	 [[Robbins]] my theory : surgery one , they botched
2          	 Vern Saldusky's death                   	 Mona_Lavalle_(Karl_Benway)     	 [[Mona_Lavalle_(Karl_Benway)]] vern was an unfortunate tragedy
2          	 Wendy Garner's murder                   	 Mona_Lavalle_(Karl_Benway)     	 [[Brass]] she saw you with vern so you killed her
3          	 Wendy Garner's murder                   	 Francis                        	 [[Francis]] i tried to protect my wife 's work
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Tyson Plummer's murder                  	 Andre                          	 [[Kid_1]] i saw him
0          	 Young male's death                      	 NO PERPETRATOR                 	 NO DIALOGUE
0          	 Leo Plummer's murder                    	 NO PERPETRATOR                 	 NO DIALOGUE
0          	 Samuel Mendez's death                   	 NO PERPETRATOR                 	 [[Prisoner_1]] cops iced the kid
1          	 Child abuse and starvation              	 NO PERPETRATOR                 	 [[Robbins]] it 's highly specific for abuse
1          	 Devon Malton's abuse                    	 Lorna_Tenney                   	 [[Sara]] devon malton , age five , last known residence was a foster home run by a lorna tenney
1          	 Samuel Mendez's identity question       	 NO PERPETRATOR                 	 [[Mr._Mendez]] i do n't know who that is in there , but it 's not my son
1          	 Samuel Mendez's beating                 	 NO PERPETRATOR                 	 [[Prisoner_1]] cops iced the kid
2          	 Samuel Mendez's identity question       	 NO PERPETRATOR                 	 [[Mr._Mendez]] i do n't know who that is in there , but it 's not my son
2          	 Rubber bin print ID                     	 Phillip_Riley                  	 [[Sofia_Curtis]] your print belongs to an enlisted man private first class phillip riley
2          	 Gun evidence analysis                   	 NO PERPETRATOR                 	 NO DIALOGUE
2          	 Samuel Mendez's murder                  	 Vincent_Mendoza                	 [[Warrick]] ... and one suspect -- vincent mendoza ... booked for meth manufacture
3          	 Sam Mendez's murder                     	 Vincent_Mendoza                	 [[Warrick]] your boot prints were found on the victim 's head
3          	 Devon Malton's abuse/starvation         	 Darlene_Malton                 	 [[Sara]] dna 's a match to one of your hairs that you left on the body of a little boy
3          	 Child endangerment case                 	 Darlene_Malton                 	 [[Brass]] where are the boys now ?
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Severed head discovery                  	 NO PERPETRATOR                 	 ( The kid gasps . )
0          	 Hispanic woman's murder                 	 NO PERPETRATOR                 	 [[Catherine]] and a lot of hatred
0          	 Vincent Decarlo shooting                	 NO PERPETRATOR                 	 [[Sofia_Curtis]] shot was fired from the wheelchair
1          	 Veronica Juarez murder                  	 NO PERPETRATOR                 	 [[Det._Sam_Vega]] sinaloa cowboys
1          	 Veronica's alias investigation          	 NO PERPETRATOR                 	 [[Juanito_Concha_(barback)]] that 's carla
1          	 Stolen wheelchair case                  	 NO PERPETRATOR                 	 [[Warrick]] we found her wheelchair at a crime scene downtown
2          	 Veronica Juarez murder                  	 NO PERPETRATOR                 	 [[Elindio_Zapata]] i know nothing about this
2          	 Tire tread evidence                     	 NO PERPETRATOR                 	 [[Catherine]] she was run over by a toyo open country mt 38-by-15.5-by-18
2          	 Dax Blanchard shooting                  	 NO PERPETRATOR                 	 [[Sofia_Curtis]] head stamp on the casings was a little unusual
3          	 Vincent Decarlo murder                  	 Stuart_Manslow                 	 [[Stuart_Manslow]] but i got him good the second one
3          	 Veronica Juarez murder                  	 Juanito_Concha                 	 [[Juanito_Concha]] i gave it my own twist
3          	 Veronica's decapitation                 	 Elindio_Zapata                 	 [[Elindio_Zapata]] limpia ... esta puta !
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Tar-encased bodies                      	 NO PERPETRATOR                 	 [[Warrick]] whoever buried her sure had access to a lot of tar
0          	 Mass grave killings                     	 NO PERPETRATOR                 	 [[Sara]] ten to one , it 's domestic abuse
0          	 Svetlana's disappearance                	 Andrew_Melton                  	 [[Sara]] or got buried a few feet under it
1          	 Svetlana's murder                       	 Ken Wellstone                  	 [[Warrick]] ken still could have done it
2          	 Svetlana's murder                       	 Ken Wellstone                  	 [[Warrick]] ken still could have done it
2          	 Svetlana's murder                       	 Andrew_Melton                  	 [[Catherine]] svetlana 's blood was on the necklace worn by andrew melton 's current child bride
2          	 Double homicide (Curly Sue & Flat Sally)	 Chloe_Daniels Vlad             	 [[Catherine]] the only people with full access to the salon are chloe and vlad
3          	 Tar-covered bodies disposal             	 Vlad                           	 [[Vlad]] in russia , i work for certain family
3          	 Svetlana's murder                       	 Andrew_Melton                  	 [[Andrew_Melton]] she never appreciated me
3          	 Previous tar burial                     	 Vlad                           	 [[Vlad]] many girls want american husband
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Martha Krell's murder                   	 NO PERPETRATOR                 	 [[Brass]] apparently , she was stabbed to death
0          	 Ty Hawkins' death                       	 NO PERPETRATOR                 	 [[Det._Chris_Cavaliere]] victim 's in the bedroom
1          	 Martha Krell's murder                   	 NO PERPETRATOR                 	 [[Robbins]] ms krell was violently stabbed to death
1          	 Ty Hawkins' death                       	 NO PERPETRATOR                 	 [[Det._Chris_Cavaliere]] victim 's in the bedroom
1          	 Serial rape case                        	 NO PERPETRATOR                 	 [[Mia_Dickerson]] you are looking at the same rapist
2          	 Martha Krell's murder                   	 Hayden_Michaels                	 [[Grissom]] so you must have had your vasectomy reversed
2          	 Serial rape case                        	 Hayden_Michaels                	 [[Mia_Dickerson]] you are looking at the same rapist
2          	 Ty Hawkins' death                       	 NO PERPETRATOR                 	 [[Nick]] the shoe impression outside ty 's window matches the brother 's
3          	 Martha Krell's murder                   	 Hayden_Michaels                	 [[Grissom]] subsequent victim had similar characteristics to your first victim
3          	 Serial rape case                        	 Hayden_Michaels                	 [[Sara]] we have your client on tape
3          	 Ty Hawkins' death                       	 Matthew_Hawkins                	 [[Matthew_Hawkins]] like i told him , i did it
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Robbie Garson's murder                  	 NO PERPETRATOR                 	 [[Grissom]] nobody mentioned restraints
0          	 Sexual assault evidence                 	 NO PERPETRATOR                 	 [[Sara]] so the semen that i found on his bed is someone else 's ?
0          	 Post-mortem assault                     	 Kenny Valdez                   	 NO DIALOGUE
1          	 Robbie Garson's murder                  	 NO PERPETRATOR                 	 [[Greg]] looks like we have a murder weapon
1          	 Sexual assault evidence                 	 Adam Trent                     	 [[Sara]] we found adam 's semen in robbie 's bed
1          	 Mother-son incest                       	 NO PERPETRATOR                 	 [[Valerie_Dino]] mother-son incest is rare and deeply pathological
2          	 Robbie Garson's murder                  	 Joanne_McKay                   	 [[Sara]] your lipstick is on his underwear
2          	 Sexual assault evidence                 	 Adam_Trent                     	 [[Sara]] we found adam 's semen in robbie 's bed
2          	 Post-mortem head trauma                 	 Adam_Trent                     	 [[Adam_Trent]] i took his head and i smashed it into the floor
3          	 Robbie Garson's murder                  	 Joanne_McKay                   	 [[Sara]] your lipstick is on his underwear
3          	 Mother-son incest                       	 Joanne_McKay                   	 [[Brass]] your dearest angel
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Alice Granger's murder                  	 NO PERPETRATOR                 	 [[Catherine]] maybe she knew her attacker
1          	 Alice Granger's murder                  	 Jeff_Simon                     	 [[Douglas_Granger]] jeff simon , her ex-boyfriend
1          	 GPS tracking case                       	 Jeff_Simon                     	 [[Catherine]] he was tracking her car
2          	 Holly Pearson's murder                  	 Adam_Novak                     	 [[Catherine]] let’s run his prints against this
2          	 Car break-in theft                      	 NO PERPETRATOR                 	 [[Nick]] somebody could’ve swiped his keycard
3          	 Alice Granger's murder                  	 Jeff_Simon                     	 [[Jeff_Simon]] (covers Alice's face with her jacket)
3          	 Holly Pearson's murder                  	 Jeff_Simon                     	 [[Catherine]] you followed her home and worked up the nerve
